excerpt_id,paper_id,source_family,case_role,excerpt_index,source_title,primary_source,excerpt_kind,source_micro_excerpt,micro_excerpt_word_count,candidate_claim,human_gold_route_label,human_gold_template_id,post_admission_gold_action,current_expected_tool_decision,current_expected_reviewer_action,overclaim_hazard,reviewer_comment_gold,selection_rationale,gold_label_basis
PEV-058,P030,conformal_shift,external_excerpt,58,Conformal Prediction under Covariate Shift,https://arxiv.org/abs/1904.06019,title_metadata_excerpt,Covariate Shift,2,Weighted conformal coverage holds under arbitrary shift.,NEEDS_TEMPLATE_ADMISSION,,SUPPRESS,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,shift assumption overclaim,Suppress arbitrary-shift wording unless the shift assumptions are satisfied.,hard negative,covariate shift assumption boundary
PEV-059,P025,selective_prediction,external_excerpt,59,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,https://arxiv.org/abs/1901.09192,title_metadata_excerpt,Integrated Reject Option,3,The rejection policy is ethically acceptable for all users.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,ethics claim,Stop the claim runner; ethical acceptability requires separate review.,out of scope,ethics non-goal
PEV-060,P028,conformal_prediction,external_excerpt,60,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,https://arxiv.org/abs/2107.07511,title_metadata_excerpt,Distribution-Free Uncertainty Quantification,3,The proof is mathematically correct in every detail.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,proof correctness,Stop the claim runner; proof correctness is outside the metric-to-claim tool.,out of scope,proof-review non-goal
PEV-061,P012,llm_evaluation,external_excerpt,61,Holistic Evaluation of Language Models,https://arxiv.org/abs/2211.09110,title_metadata_excerpt,Holistic Evaluation of Language Models,5,"The evaluation result is bounded to the scenario, prompt protocol, and metric.",NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded LLM eval scenario,Open an LLM-evaluation adapter; accept only scenario/prompt/metric bounded wording.,LLM eval positive,source title plus scenario role
PEV-062,P013,llm_evaluation,external_excerpt,62,Measuring Massive Multitask Language Understanding,https://arxiv.org/abs/2009.03300,title_metadata_excerpt,Massive Multitask Language Understanding,4,The benchmark compares models on the included subject tasks and metric.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded multitask score,Open admission; keep the claim to included subjects and aggregation.,LLM eval positive,source title plus multi-task role
PEV-063,P020,llm_evaluation,external_excerpt,63,EleutherAI Language Model Evaluation Harness,https://github.com/EleutherAI/lm-evaluation-harness,title_metadata_excerpt,Language Model Evaluation Harness,4,The harness supports reproducible evaluation configuration reporting.,NEEDS_TEMPLATE_ADMISSION,,SUPPORT_ONLY,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,resource support claim,Open admission; use as support-only unless a stronger harness template is admitted.,support-only boundary,source title plus harness role
PEV-064,P012,llm_evaluation,external_excerpt,64,Holistic Evaluation of Language Models,https://arxiv.org/abs/2211.09110,title_metadata_excerpt,Holistic Evaluation,2,The model is broadly capable across all real-world tasks.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,scenario set to all tasks,Rewrite to evaluated scenarios and aggregation policy.,overclaim boundary,scenario aggregation boundary
PEV-065,P014,llm_evaluation,external_excerpt,65,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,https://arxiv.org/abs/2206.04615,title_metadata_excerpt,Quantifying and extrapolating capabilities,4,The benchmark extrapolation proves all future model capabilities.,NEEDS_TEMPLATE_ADMISSION,,WEAKEN,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,extrapolation to future certainty,Weaken to measured capability trends under the stated setup.,overclaim boundary,future capability boundary
PEV-066,P032,llm_evaluation,external_excerpt,66,OpenAI Evals,https://github.com/openai/evals,title_metadata_excerpt,OpenAI Evals,2,An eval harness result certifies product safety for public deployment.,NEEDS_TEMPLATE_ADMISSION,,SUPPRESS,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,eval harness to safety certification,Suppress safety-certification wording; a harness result is not deployment certification.,hard negative,safety certification boundary
PEV-067,P013,llm_evaluation,external_excerpt,67,Measuring Massive Multitask Language Understanding,https://arxiv.org/abs/2009.03300,title_metadata_excerpt,Multitask Language Understanding,3,A high score establishes general intelligence.,NEEDS_TEMPLATE_ADMISSION,,WEAKEN,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,benchmark to intelligence,Weaken to benchmark task performance; do not license intelligence claims.,hard negative,construct-validity boundary
PEV-068,P020,llm_evaluation,external_excerpt,68,EleutherAI Language Model Evaluation Harness,https://github.com/EleutherAI/lm-evaluation-harness,title_metadata_excerpt,Evaluation Harness,2,The harness alone makes every benchmark result comparable.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,harness to universal comparability,"Rewrite to reproducible configuration support, not universal comparability.",overclaim boundary,harness comparability boundary
PEV-069,P012,llm_evaluation,external_excerpt,69,Holistic Evaluation of Language Models,https://arxiv.org/abs/2211.09110,title_metadata_excerpt,Language Models,2,The model is safe for unsupervised public deployment.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,deployment safety,Stop the claim runner; safety for deployment is outside current scope.,out of scope,deployment non-goal
PEV-070,P032,llm_evaluation,external_excerpt,70,OpenAI Evals,https://github.com/openai/evals,title_metadata_excerpt,Evals,1,The eval result proves legal compliance of deployed behavior.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,legal compliance,Stop the claim runner; legal compliance requires separate review.,out of scope,legal non-goal
PEV-071,P033,llm_peer_review,external_excerpt,71,Can Large Language Models Provide Useful Feedback on Research Papers?,https://arxiv.org/abs/2310.01783,title_metadata_excerpt,Useful Feedback on Research Papers,5,The study result is bounded to the measured LLM feedback workflow.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded LLM feedback result,Open a peer-review-tool adapter; accept only workflow and measured-outcome bounded wording.,peer-review tool positive,source title plus workflow role
PEV-072,P034,llm_peer_review,external_excerpt,72,Usefulness of LLMs as an Author Checklist Assistant for Scientific Papers,https://arxiv.org/abs/2411.03417,title_metadata_excerpt,Author Checklist Assistant,3,A checklist assistant can support a bounded author-facing review workflow claim.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded checklist assistant,Open admission; keep the claim to the studied checklist-assistant workflow.,peer-review tool positive,source title plus checklist role
PEV-073,P035,llm_peer_review,external_excerpt,73,Can LLM feedback enhance review quality? A randomized study of 20K reviews at ICLR 2025,https://arxiv.org/abs/2504.09737,title_metadata_excerpt,randomized study of 20K reviews,5,The review-feedback agent improved the measured outcome in the studied venue workflow.,NEEDS_TEMPLATE_ADMISSION,,ACCEPT,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,bounded randomized-workflow claim,Open admission; accept only the studied workflow and measured outcome.,peer-review tool positive,source title plus randomized study role
PEV-074,P033,llm_peer_review,external_excerpt,74,Can Large Language Models Provide Useful Feedback on Research Papers?,https://arxiv.org/abs/2310.01783,title_metadata_excerpt,LLMs Provide Useful Feedback,4,LLM systems can replace human peer reviewers.,NEEDS_TEMPLATE_ADMISSION,,SUPPRESS,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,assistance to replacement,Suppress replacement language; assistance evidence does not license reviewer replacement.,hard negative,human-review boundary
PEV-075,P036,llm_peer_review,external_excerpt,75,Monitoring AI-Modified Content at Scale,https://arxiv.org/abs/2403.07183,title_metadata_excerpt,Monitoring AI-Modified Content at Scale,5,Monitoring AI-modified content proves review integrity at scale.,NEEDS_TEMPLATE_ADMISSION,,REWRITE,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,monitoring to integrity guarantee,Rewrite to monitoring capability under the studied setup.,overclaim boundary,monitoring-to-integrity boundary
PEV-076,P037,llm_peer_review,external_excerpt,76,The AI Review Lottery,https://arxiv.org/abs/2405.02150,title_metadata_excerpt,AI Review Lottery,3,AI assistance should be unrestricted in all peer review venues.,NEEDS_TEMPLATE_ADMISSION,,SUPPRESS,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,empirical observation to policy mandate,Suppress unrestricted-policy wording; empirical evidence alone does not license it.,hard negative,policy boundary
PEV-077,P038,scientific_summarization,external_excerpt,77,Generalization Bias in LLM Summarization of Scientific Research,https://arxiv.org/abs/2504.00025,title_metadata_excerpt,Generalization Bias in LLM Summarization,5,All LLM-generated scientific summaries are unreliable.,NEEDS_TEMPLATE_ADMISSION,,WEAKEN,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,sample bias to universal unreliability,"Weaken to evaluated models, papers, and summary tasks.",overclaim boundary,generalization boundary
PEV-078,P039,llm_peer_review_security,external_excerpt,78,Invisible Text Injection and Peer Review by AI Models,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2844042,title_metadata_excerpt,Invisible Text Injection,3,All AI-assisted peer review is insecure.,NEEDS_TEMPLATE_ADMISSION,,WEAKEN,OPEN_ADMISSION_TICKET,ADMISSION_REQUIRED,attack demo to universal insecurity,Weaken to the tested models and attack format.,overclaim boundary,attack-model boundary
PEV-079,P034,llm_peer_review,external_excerpt,79,Usefulness of LLMs as an Author Checklist Assistant for Scientific Papers,https://arxiv.org/abs/2411.03417,title_metadata_excerpt,Scientific Papers,2,The venue should allow unrestricted AI reviewing.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,venue policy,Stop the claim runner; venue policy is outside metric-to-claim audit.,out of scope,policy non-goal
PEV-080,P039,llm_peer_review_security,external_excerpt,80,Invisible Text Injection and Peer Review by AI Models,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2844042,title_metadata_excerpt,Peer Review by AI Models,5,A specific submitted manuscript contains hidden malicious text.,OUT_OF_SCOPE_DO_NOT_CALL,,OUT_OF_SCOPE,DO_NOT_CALL_CLAIM_RUNNER,OUT_OF_SCOPE_STOP,forensic manuscript claim,Stop the claim runner; forensic manuscript detection is outside this benchmark.,out of scope,forensic non-goal
PEV-081,CONTROL-01,registered_control,registered_control,0,ClaimContractBench registered-template control set,WORKSPACE current release assets,registered_control,registered-template control set,3,In the declared CA-to-TX ACS setting source-isotonic supports the RAC1P=1 slice claim under the reportability policy.,CALL_REGISTERED_TEMPLATE,CTA-CORE-01,ACCEPT,ACCEPT_LICENSED,ACCEPT,registered backend control,Use the registered claim-intake backend and preserve the locked control decision for this template.,registered deterministic backend control,Current registered positive control.
PEV-082,CONTROL-01,registered_control,registered_control,0,ClaimContractBench registered-template control set,WORKSPACE current release assets,registered_control,registered-template control set,3,Oracle target isotonic is the same-regime winner.,CALL_REGISTERED_TEMPLATE,CTA-CORE-02,REWRITE,REWRITE_TO_LICENSED,REWRITE,registered backend control,Use the registered claim-intake backend and preserve the locked control decision for this template.,registered deterministic backend control,Current registered upper-bound rewrite control.
PEV-083,CONTROL-01,registered_control,registered_control,0,ClaimContractBench registered-template control set,WORKSPACE current release assets,registered_control,registered-template control set,3,The RAC1P=6 slice is fully reportable as a decisive local result.,CALL_REGISTERED_TEMPLATE,CTA-CORE-03,WEAKEN,REWRITE_TO_LICENSED,WEAKEN,registered backend control,Use the registered claim-intake backend and preserve the locked control decision for this template.,registered deterministic backend control,Current registered weaken-to-diagnostic control.
PEV-084,CONTROL-01,registered_control,registered_control,0,ClaimContractBench registered-template control set,WORKSPACE current release assets,registered_control,registered-template control set,3,The global ECE winner transfers unchanged to the auto-merge decision.,CALL_REGISTERED_TEMPLATE,CTA-CORE-04,REWRITE,REWRITE_TO_LICENSED,REWRITE,registered backend control,Use the registered claim-intake backend and preserve the locked control decision for this template.,registered deterministic backend control,Current registered decision-local rewrite control.
PEV-085,CONTROL-01,registered_control,registered_control,0,ClaimContractBench registered-template control set,WORKSPACE current release assets,registered_control,registered-template control set,3,The raw method is calibrated on the hard-negative slice.,CALL_REGISTERED_TEMPLATE,CTA-CORE-05,SUPPRESS,SUPPRESS_BOTTOM,SUPPRESS,registered backend control,Use the registered claim-intake backend and preserve the locked control decision for this template.,registered deterministic backend control,Current registered suppress control.
PEV-086,CONTROL-01,registered_control,registered_control,0,ClaimContractBench registered-template control set,WORKSPACE current release assets,registered_control,registered-template control set,3,The null detector is effective on NAB overall.,CALL_REGISTERED_TEMPLATE,CTA-NAB-01,SUPPORT_ONLY,SUPPORT_ONLY_REWRITE,SUPPORT_ONLY,registered backend control,Use the registered claim-intake backend and preserve the locked control decision for this template.,registered deterministic backend control,Current support-only control.
PEV-087,CONTROL-01,registered_control,registered_control,0,ClaimContractBench registered-template control set,WORKSPACE current release assets,registered_control,registered-template control set,3,AI4I predictive maintenance results support a calibrated maintenance-warning claim.,CALL_REGISTERED_TEMPLATE,CTA-AI4I-01,REJECT,REJECT_PATCHWORK,REJECT,registered backend control,Use the registered claim-intake backend and preserve the locked control decision for this template.,registered deterministic backend control,Current patchwork rejection control.
PEV-088,CONTROL-01,registered_control,registered_control,0,ClaimContractBench registered-template control set,WORKSPACE current release assets,registered_control,registered-template control set,3,This unregistered benchmark claim should be accepted because it has a metric.,CALL_REGISTERED_TEMPLATE,CTA-UNKNOWN-01,REJECT,REJECT_UNKNOWN_TEMPLATE,REJECT,registered backend control,Use the registered claim-intake backend and preserve the locked control decision for this template.,registered deterministic backend control,Current unknown-template rejection control.
