row_id,source_id,family,template_id,boundary_case_type,reference_candidate_release_safe,reference_display_action,reference_reportability_gate,reference_reason_code,reference_suggested_rewrite,conservative_candidate_release_safe,conservative_display_action,conservative_reportability_gate,conservative_reason_code,channel_actions,channel_safeties,outcome_version
V317B-UNC-015,V34H-UNC-004,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"In long-form QA experiments, the adaptive conformal procedure preserves marginal coverage while improving conditional coverage and consistency across categories.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,WEAKEN|BLOCK_AND_SUGGEST|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-016,V34H-UNC-004,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,background_support_only,no,SUPPORT_ONLY,support_only_context,source_background_only,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-017,V34H-UNC-005,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-018,V34H-UNC-005,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"Code language models frequently produce overconfident incorrect predictions and underconfident correct predictions, undermining deployment reliability.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,WEAKEN|WEAKEN|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-019,V34H-UNC-005,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"The paper introduces a framework that integrates uncertainty estimation, model calibration, and tool-based abstention handling for code models.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|SUPPRESS,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-020,V34H-UNC-005,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,hard_nonrepairable_suppress,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-021,V34H-UNC-006,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,acceptable_candidate,yes,ACCEPT,reportable_as_claim,source_supports_candidate,,yes,ACCEPT,reportable_as_claim,source_supports_candidate,ACCEPT|ACCEPT|ACCEPT,yes|yes|yes,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-022,V34H-UNC-006,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,same_object_force_scope_overclaim,no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,"Uncertainty reliability degrades under domain shift, while GNLL-based probabilistic modeling, ensembling, and recalibration each help improve OOD uncertainty awareness.",no,WEAKEN,reportable_after_weakening,source_supports_weakened_candidate,WEAKEN|WEAKEN|WEAKEN,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-023,V34H-UNC-006,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,contradicted_repairable,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,"Among the evaluated OOD datasets, Sensors has the largest SBP distribution shift relative to the training distribution, followed by UCI, PPGBP, and BCG.",no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
V317B-UNC-024,V34H-UNC-006,uncertainty_calibration,TPL-UNCERTAINTY-CAL-V18,hard_nonrepairable_suppress,no,SUPPRESS,suppress_no_safe_public_claim,source_forbids_candidate_no_repair,,no,BLOCK_AND_SUGGEST,blocked_but_corrected_claim_available,source_supports_corrected_claim_but_candidate_blocked,BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST|BLOCK_AND_SUGGEST,no|no|no,V3.18b-no-accept-unless-unanimous-20260606
